#,Loan Product / Variant,Max Loan Amount,Tenure,Co-app?,Min CIBIL,Age,Min. Income (pm),LTV Ratio,,,
74,Home Improvement Loan,Up to ₹50 Lakhs,15 Yrs,Yes,720+,21–65,"₹20,000",80%,,,
75,Home Extension Loan,Profile-based,20 Yrs,Yes,725+,21–65,"₹20,000",80%,,,
76,Saral Home Loan (Rural),Up to ₹15 Lakhs,20 Yrs,Yes,650+,18–65,"₹10,000",85%,,,
77,Extra Home Loan (Extended),20% More Funds,30 Yrs,Yes,750+,21–45,"₹30,000",85%,,,
78,Pre-Approved Home Loan,Sanction Limit,30 Yrs,Yes,750+,21–60,"₹25,000",80%–90%,,,
79,PMAY 2.0 (Subsidy Scheme),Up to ₹12 Lakhs,20 Yrs,Yes,600+,18–70,LIG/MIG,90%,,,
80,Bridge Home Loan,Property Sale,2 Yrs,Yes,750+,21–65,"₹35,000",80%,,,
81,Loan Against Property (Res),Up to ₹10 Cr,15 Yrs,Yes,750+,25–70,"₹40,000",60%–65%,,,
82,Commercial Property Loan,Up to ₹10 Cr,15 Yrs,Yes,750+,25–70,"₹50,000",55%–60%,,,
83,Lease Rental Discounting,Based on Rent,15 Yrs,Yes,750+,25–70,Rental Inc.,60%,,,
84,Doctors Special Home Loan,Up to ₹10 Cr,30 Yrs,Yes,725+,25–65,"₹50,000",80%–90%,,,
85,CA/CS/CWA Special Loan,Up to ₹5 Cr,30 Yrs,Yes,725+,25–65,"₹40,000",80%–90%,,,
86,Micro LAP (Small Business),Up to ₹15 Lakhs,10 Yrs,Yes,680+,25–70,"₹20,000",60%,,,
87,Second Home Loan,Profile-based,25 Yrs,Yes,750+,21–65,"₹50,000",75%,,,
88,Under-Construction Loan,Stage-based,30 Yrs,Yes,750+,21–60,"₹25,000",80%–90%,,,
89,Ready-to-Move Loan,Lump-sum,30 Yrs,Yes,750+,21–60,"₹25,000",75%–90%,,,
90,ICICI Green Home Loan,Profile-based,30 Yrs,Yes,750+,21–60,"₹25,000",80%–95%,,,
EDUCATION,,,,,,,,,,,
,Loan Product Name / Variant,Max Loan Amount,Repayment Tenure,Co-Applicant Required?,Min CIBIL (Co-app),Student Age,,,,,
1,iSmart Domestic (A1 Elite),Up to ₹1 Crore,Up to 15 Years,Yes,750+,16–35 Yrs,,,,,
2,iSmart Domestic (A2 Premier),Up to ₹40 Lakhs,Up to 12 Years,Yes,725+,16–35 Yrs,,,,,
3,iSmart Domestic (A3 Reputed),Up to ₹15 Lakhs,Up to 10 Years,Yes,700+,16–35 Yrs,,,,,
4,iSmart Domestic (A4 General),Up to ₹10 Lakhs,Up to 7 Years,Yes,685+,16–35 Yrs,,,,,
5,iSmart Abroad (Premium Select),Up to ₹1 Crore,Up to 15 Years,No*,750+,18–35 Yrs,,,,,
6,iSmart Abroad (Standard),Up to ₹3 Crores,Up to 15 Years,Yes,700+,18–35 Yrs,,,,,
7,Overseas Unsecured (UG),Up to ₹50 Lakhs,Up to 10 Years,Yes,750+,16–25 Yrs,,,,,
8,Overseas Unsecured (PG),Up to ₹1 Crore,Up to 12 Years,Yes,725+,21–35 Yrs,,,,,
9,Secured Overseas (Property),Up to ₹3 Crores,Up to 15 Years,Yes,650+,16–35 Yrs,,,,,
10,Secured Overseas (FD),100% of FD,Up to 10 Years,No,No Min.,16–35 Yrs,,,,,
11,Pre-Admission Sanction,Profile-based,N/A (Initial),Yes,725+,16–35 Yrs,,,,,
12,Instant Digital Loan,Up to ₹50 Lakhs,Up to 10 Years,Yes,750+,18–35 Yrs,,,,,
13,Postgraduate Professional,Up to ₹1 Crore,Up to 15 Years,Yes,700+,21–35 Yrs,,,,,
14,Undergraduate Degree Loan,Up to ₹50 Lakhs,Up to 12 Years,Yes,700+,16–22 Yrs,,,,,
15,Working Prof. (2+ Yrs Exp),Up to ₹40 Lakhs,Up to 10 Years,No,750+ (Self),23–35 Yrs,,,,,
16,Executive MBA Loan,Up to ₹50 Lakhs,Up to 10 Years,No,750+ (Self),25–45 Yrs,,,,,
17,Medical Specialist (MD/MS),Up to ₹1 Crore,Up to 15 Years,Yes,700+,23–35 Yrs,,,,,
18,Aviation/Pilot Training,Up to ₹1 Crore,Up to 10 Years,Yes,725+,18–30 Yrs,,,,,
19,Nursing & Healthcare,Up to ₹20 Lakhs,Up to 10 Years,Yes,685+,17–30 Yrs,,,,,
20,Vocational/Skill Training,Up to ₹10 Lakhs,Up to 7 Years,Yes,650+,16–30 Yrs,,,,,
21,Canada GIC Integrated,Up to ₹3 Crores,Up to 15 Years,Yes,700+,18–35 Yrs,,,,,
22,Germany Blocked Account,Up to ₹3 Crores,Up to 15 Years,Yes,700+,18–35 Yrs,,,,,
23,UK Student Package,Up to ₹3 Crores,Up to 15 Years,Yes,700+,18–35 Yrs,,,,,
24,USA STEM Special,Up to ₹1.5 Crore,Up to 15 Years,Yes,750+,21–35 Yrs,,,,,
25,PhD & Research Loan,Up to ₹50 Lakhs,Up to 12 Years,Yes,700+,23–40 Yrs,,,,,
26,Refinance (Transfer),Existing Balance,Rem. Tenure,Yes,750+,18–35 Yrs,,,,,
27,CSIS Subsidy Scheme,Up to ₹10 Lakhs,Up to 15 Years,Yes,600+,16–35 Yrs,,,,,
28,PM Vidyalakshmi Portal,Up to ₹10 Lakhs,Up to 15 Years,Yes,Standard,16–35 Yrs,,,,,
29,Bridge Loan,Up to ₹10 Lakhs,Up to 1 Year,Yes,725+,18–35 Yrs,,,,,
30,Equipment Add-on,Up to ₹5 Lakhs,Main Tenure,Yes,685+,16–35 Yrs,,,,,
31,Domestic Premier - Tier A,Up to ₹1.5 Crore,Up to 15 Years,Yes,750+,16–35 Yrs,,,,,
32,Domestic - Tier B (Unsecured),Up to ₹50 Lakhs,Up to 12 Years,Yes,725+,16–35 Yrs,,,,,
33,Domestic - Tier C (General),Up to ₹10 Lakhs,Up to 10 Years,Yes,685+,16–35 Yrs,,,,,
34,Overseas Unsecured (USA),Up to ₹80 Lakhs,Up to 15 Years,Yes,750+,18–35 Yrs,,,,,
35,Overseas Unsecured (UK),Up to ₹50 Lakhs,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
36,Overseas Unsecured (Canada),Up to ₹45 Lakhs,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
37,Overseas Unsecured (Germany),Up to ₹40 Lakhs,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
38,Overseas Unsecured (France),Up to ₹60 Lakhs,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
39,Overseas Unsecured (Aus/NZ),Up to ₹80 Lakhs,Up to 15 Years,Yes,750+,18–35 Yrs,,,,,
40,Secured Overseas (Property),No Upper Limit*,Up to 15 Years,Yes (Non-Fin),650+,16–35 Yrs,,,,,
41,Secured Overseas (FD/Gold),100% of Value,Up to 10 Years,No,No Min.,16–35 Yrs,,,,,
42,GRE-Based (USA) - 315+ Score,Up to ₹80 Lakhs,Up to 15 Years,Yes,720+,21–35 Yrs,,,,,
43,GRE-Based (USA) - 300-314,Up to ₹50 Lakhs,Up to 15 Years,Yes,720+,21–35 Yrs,,,,,
44,Pre-Admission Sanction,Case-to-Case,N/A (Sanction),Yes,725+,16–35 Yrs,,,,,
45,Postgraduate Unsecured (MS/MA),Up to ₹75 Lakhs,Up to 15 Years,Yes,725+,21–35 Yrs,,,,,
46,Undergraduate Abroad (UG),Up to ₹40 Lakhs,Up to 12 Years,Yes (Income),750+,17–22 Yrs,,,,,
47,Executive MBA (Abroad),Up to ₹1.5 Crore,Up to 10 Years,Optional**,750+,25–45 Yrs,,,,,
48,Medical Professional (MBBS),Up to ₹30 Lakhs,Up to 15 Years,Yes,700+,17–25 Yrs,,,,,
49,Medical Specialist (MD/MS/MCH),Up to ₹1 Crore,Up to 15 Years,Yes,700+,23–35 Yrs,,,,,
50,Commercial Pilot (DGCA App),Up to ₹1 Crore,Up to 10 Years,Yes,725+,18–30 Yrs,,,,,
51,STEM Special (USA/Europe),Up to ₹1.2 Crore,Up to 15 Years,Yes,750+,21–35 Yrs,,,,,
52,Vocational Courses (Skill),Up to ₹5 Lakhs,Up to 7 Years,Yes,685+,18–30 Yrs,,,,,
53,PhD & Research Assistantship,Up to ₹40 Lakhs,Up to 12 Years,Yes,700+,24–40 Yrs,,,,,
54,Bridge Loan (Initial Setup),Up to ₹5 Lakhs,Up to 1 Year,Yes,725+,18–35 Yrs,,,,,
55,Balance Transfer (Refinance),Current Bal.,Rem. Tenure,Yes,750+,18–35 Yrs,,,,,
56,Future Banker Programme,Up to ₹4 Lakhs,Up to 7 Years,Yes,700+,21–28 Yrs,,,,,
57,Scholar Loan (List AA - IIT/IIM),Up to ₹50 Lakhs,Up to 15 Years,Yes,750+,18–35 Yrs,,,,,
58,Scholar Loan (List A - Top Govt),Up to ₹40 Lakhs,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
59,Scholar Loan (List B - NITs),Up to ₹30 Lakhs,Up to 15 Years,Yes,700+,18–35 Yrs,,,,,
60,Scholar Loan (List C - Private),Up to ₹30 Lakhs,Up to 15 Years,Yes,700+,18–35 Yrs,,,,,
61,Global Ed-Vantage (Abroad - Secured),Up to ₹3 Crores,Up to 15 Years,Yes,685+,18–35 Yrs,,,,,
62,Global Ed-Vantage (Abroad - Unsec),Up to ₹50 Lakhs,Up to 12 Years,Yes,750+,18–35 Yrs,,,,,
63,SBI Student Loan (India - Medical),Up to ₹75 Lakhs,Up to 15 Years,Yes,700+,17–30 Yrs,,,,,
64,SBI Student Loan (India - General),Up to ₹50 Lakhs,Up to 15 Years,Yes,685+,16–35 Yrs,,,,,
65,Skill Loan (NSQF Level 3-10),Up to ₹1.5 Lakhs,Up to 7 Years,Yes,No Min.*,18–30 Yrs,,,,,
66,Skill Loan (Short Term),"Up to ₹50,000",Up to 3 Years,Yes,No Min.*,18–30 Yrs,,,,,
67,Shaurya Loan (India - Unsecured),Up to ₹40 Lakhs,Up to 15 Years,Yes (SBI A/c),725+,18–35 Yrs,,,,,
68,Shaurya Loan (Abroad - Secured),Up to ₹1.5 Crore,Up to 15 Years,Yes (SBI A/c),650+,18–35 Yrs,,,,,
69,Medical Scholar (PG-NEET),Up to ₹1 Crore,Up to 15 Years,Yes,725+,21–40 Yrs,,,,,
70,Aviation/Pilot Training,Up to ₹1 Crore,Up to 10 Years,Yes,750+,18–30 Yrs,,,,,
71,PhD/Research Loan (India),Up to ₹40 Lakhs,Up to 12 Years,Yes,700+,23–45 Yrs,,,,,
72,PhD/Research Loan (Abroad),Up to ₹1.5 Crore,Up to 15 Years,Yes,725+,23–45 Yrs,,,,,
73,ISB Executive (Fast Track),Up to ₹50 Lakhs,Up to 15 Years,Optional**,750+,25–45 Yrs,,,,,
74,IIM Executive PGPX,Up to ₹50 Lakhs,Up to 15 Years,Optional**,750+,25–45 Yrs,,,,,
75,Maritime/Shipping Courses,Up to ₹30 Lakhs,Up to 10 Years,Yes,700+,17–25 Yrs,,,,,
76,Nursing Degree Loan,Up to ₹20 Lakhs,Up to 10 Years,Yes,685+,17–30 Yrs,,,,,
77,Takeover/Refinance (Unsecured),Up to ₹50 Lakhs,Rem. Tenure,Yes,750+,Up to 35 Yrs,,,,,
78,Takeover/Refinance (Secured),Up to ₹1.5 Crore,Rem. Tenure,Yes,700+,Up to 35 Yrs,,,,,
79,PM-Vidyalaxmi (Utkarsh),Up to ₹7.5 Lakhs,Up to 15 Years,Yes,Standard,16–35 Yrs,,,,,
80,PM-Vidyalaxmi (Uttam),Up to ₹10 Lakhs,Up to 15 Years,Yes,Standard,16–35 Yrs,,,,,
81,PM-Vidyalaxmi (Uday),Up to ₹10 Lakhs,Up to 15 Years,Yes,Standard,16–35 Yrs,,,,,
82,CSIS Subsidy Product,Up to ₹10 Lakhs,Up to 15 Years,Yes,600+,16–35 Yrs,,,,,
83,Pre-Visa Disbursal (Germany),Up to ₹1.5 Crore,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
84,Pre-Visa Disbursal (Canada GIC),Up to ₹1.5 Crore,Up to 15 Years,Yes,725+,18–35 Yrs,,,,,
85,Bridge Loan (India/Abroad),Up to ₹10 Lakhs,Up to 1 Year,Yes,725+,18–35 Yrs,,,,,
86,Equipment/Laptop Loan,Up to ₹5 Lakhs,Main Tenure,Yes,685+,16–35 Yrs,,,,,
PERSONAL,,,,,,,,,,,
Bank Name,Loan Name,Min Age,Credit Score,Tenure (Years),Job Stability,Risk Level,One-line Eligibility Summary,,,,
SBI,Xpress Credit (Standard),21,High,0.5 - 6 Years,High,Low,Flagship loan for salaried employees with an SBI salary account.,,,,
SBI,Xpress Elite,21,High,0.5 - 6 Years,High,Low,Premium variant for high-income earners (₹1L+ monthly).,,,,
SBI,Xpress Lite,21,Medium,0.5 - 5 Years,Medium,Medium,Simplified scheme for lower-income groups with smaller requirements.,,,,
SBI,Xpress Flexi (OD),21,High,1 - 6 Years,High,Low,Overdraft facility; tenure represents the limit renewal period.,,,,
SBI,RTXC (Real Time Xpress),21,High,0.5 - 6 Years,High,Low,"Fully digital, instant loan via YONO app for existing users.",,,,
SBI,Xpress Credit (Defence),21,Medium,0.5 - 7 Years,High,Low,"Extended tenure for Indian Army, Navy, and Air Force personnel.",,,,
SBI,Xpress Credit (Railway),21,High,0.5 - 6 Years,High,Low,Dedicated personal loan scheme for permanent Railway employees.,,,,
SBI,Xpress Credit (Police),21,Medium,0.5 - 6 Years,High,Low,Specialized rules for State and Central Police Force employees.,,,,
SBI,Xpress Credit (PSU),21,High,0.5 - 6 Years,High,Low,For employees of Public Sector Undertakings with high security.,,,,
SBI,SBI Quick Personal Loan,21,High,0.5 - 5 Years,Medium,Medium,For salaried individuals who do NOT have an SBI salary account.,,,,
SBI,SBI Pension Loan,50,Medium,1 - 5 Years,High,Low,For retirees; tenure depends on age (max age 76 at maturity).,,,,
SBI,Jai Jawan Pension Loan,40,Medium,1 - 7 Years,High,Low,Extended tenure specifically for retired defense personnel.,,,,
SBI,PAPL (Pre-Approved),21,High,0.5 - 4 Years,High,Low,"Pre-approved ""4-click"" loan for select customers via YONO app.",,,,
SBI,SBI Festival Loan,21,Medium,1 Year,Medium,Medium,Short-term loan for meeting seasonal or festival expenses.,,,,
SBI,SBI Kavach Personal Loan,21,Medium,5 Years,Medium,Medium,Unsecured loan for COVID-19 treatment with a 3-month moratorium.,,,,
SBI,SBI Career Loan,21,Medium,1 - 3 Years,Low,High,For young professionals or trainees starting their career.,,,,
SBI,Personal Gold Loan (EMI),18,Low,0.25 - 3 Years,Low,Low,Asset-backed loan where gold is security; flexible tenure.,,,,
SBI,Bullet Repayment Gold,18,Low,1 Year,Low,Low,Principal and interest are paid at the end of the term.,,,,
SBI,Rent Plus,21,Medium,1 - 7 Years,Medium,Medium,High tenure loan for property owners against future rent.,,,,
HDFC,Salaried Personal Loan,21,High,1 - 5 Years,High,Low,Standard unsecured loan for employees of private/public firms.,,,,
HDFC,Golden Edge,21,High,0.25 - 6 Years,High,Low,Premium loan for high-income earners (₹75k+ monthly).,,,,
HDFC,Xpress Personal Loan,21,High,1 - 5 Years,Medium,Low,Instant digital loan with 10-second disbursal for select users.,,,,
HDFC,Govt Employee Loan,21,Medium,1 - 6 Years,High,Low,Special criteria and rates for state/central government staff.,,,,
HDFC,Personal Loan for Women,21,High,1 - 5 Years,Medium,Medium,Tailored benefits and simplified processing for women applicants.,,,,
HDFC,Personal Loan for Teachers,21,High,0.25 - 6 Years,High,Low,Dedicated credit for teachers in schools and universities.,,,,
HDFC,Marriage Loan,21,High,1 - 5 Years,Medium,Medium,For wedding-related expenses; can be used for any event cost.,,,,
HDFC,Travel Loan,21,High,1 - 5 Years,Medium,Medium,Vacation-focused loan for domestic or international trips.,,,,
HDFC,Home Renovation Loan,21,High,1 - 5 Years,Medium,Medium,Unsecured credit for interior work or home improvements.,,,,
HDFC,Medical Emergency Loan,21,Medium,1 - 5 Years,Medium,Medium,Priority disbursal for urgent healthcare or hospital costs.,,,,
HDFC,Loan for Students,21,Medium,1 - 5 Years,Low,High,Personal credit for students; usually requires a parent co-applicant.,,,,
HDFC,Loan for CAs (Professional),25,High,1 - 5 Years,High,Low,For Chartered Accountants; based on practice vintage (4+ years).,,,,
HDFC,Personal Loan for Doctors,25,High,1 - 5 Years,High,Low,High-value loans (up to ₹75L) for medical practitioners.,,,,
HDFC,Loan for Architects,25,High,1 - 4 Years,High,Low,For registered architects with established professional practice.,,,,
HDFC,Loan for CS Professionals,25,High,1 - 4 Years,High,Low,Specialized credit line for Company Secretaries.,,,,
HDFC,Balance Transfer,21,High,1 - 5 Years,High,Low,Move high-interest personal loans from other banks to HDFC.,,,,
HDFC,Insta Jumbo Loan,21,High,1 - 5 Years,Medium,Low,Pre-approved loan offered above the existing credit card limit.,,,,
HDFC,Insta Loan,21,High,1 - 5 Years,Medium,Low,Instant loan within the existing credit card limit for cash.,,,,
HDFC,HDFC PayLater,18,Medium,1 Year,Medium,Medium,Small-ticket digital credit line for e-commerce/utility bills.,,,,
HDFC,Pensioners Loan,60,Medium,1 - 5 Years,High,Low,For retirees drawing pension through HDFC Bank.,,,,
HDFC,Salary Plus (OD),21,High,1 Year,High,Low,Overdraft facility against salary; annual limit renewal required.,,,,
HDFC,Debt Consolidation,21,High,1 - 5 Years,High,Medium,Combining various debts into one lower-interest EMI.,,,,
HDFC,Loan Against FD,18,Low,1 - 5 Years,Low,Low,Secured loan against Fixed Deposits; tenure matches the FD term.,,,,
HDFC,Digital Loan Against MF,18,Medium,1 - 5 Years,Low,Low,Instant credit line backed by a mutual fund portfolio.,,,,
HDFC,Loan Against Shares,18,Medium,1 - 5 Years,Low,Low,Personal credit facility against approved demat shares.,,,,
HDFC,Personal Gold Loan,18,Low,0.25 - 3 Years,Low,Low,Asset-backed loan using gold jewelry as collateral.,,,,
HDFC,Loan Against Property,21,Medium,1 - 15 Years,Medium,Low,Long-term personal use loan against mortgaged property.,,,,
HDFC,Rent Receivable Loan,21,Medium,1 - 7 Years,Medium,Medium,Loan for property owners against future rental receipts.,,,,
HDFC,Loan Against Car,21,Medium,1 - 5 Years,Medium,Low,Refinance or top-up loan based on the current value of your car.,,,,
HDFC,Festive Treats Loan,21,Medium,1 - 5 Years,Medium,Medium,Seasonal personal loan offers with lower fees and quick approval.,,,,
ICICI,Salaried Personal Loan,23,High,1 - 6 Years,High,Low,Standard unsecured credit for employees of reputed companies.,,,,
ICICI,Insta PL (Pre-approved),23,High,1 - 5 Years,High,Low,"Instant ""3-second"" digital disbursal for select salary account holders.",,,,
ICICI,PL for Doctors (Salaried),23,High,1 - 5 Years,High,Low,Specialized high-value credit for doctors in hospitals or MNCs.,,,,
ICICI,PL for Doctors (Self-Emp),25,Medium,1 - 5 Years,Medium,Medium,Tailored for medical practitioners with their own established clinics.,,,,
ICICI,PL for CAs,25,High,1 - 5 Years,High,Low,Professional credit based on CA qualification and practice vintage.,,,,
ICICI,PL for Architects,25,High,1 - 5 Years,High,Low,For registered architects with a stable and verifiable practice.,,,,
ICICI,PL for Engineers,25,Medium,1 - 5 Years,Medium,Medium,Targeted at engineers in high-growth technology and infra sectors.,,,,
ICICI,PL for Fresher Funding,20,Medium,1 - 3 Years,Low,High,For young graduates starting their first job in a Grade-A firm.,,,,
ICICI,Wedding Loan,21,High,1 - 5 Years,Medium,Medium,Purpose-specific loan for funding marriage and event expenses.,,,,
